countryname,edate,partyabbrev,rile
Germany,26.09.2021,LINKE,1
Germany,26.09.2021,SPD,2
Germany,26.09.2021,90/Greens,3
Germany,26.09.2021,SSW,3
Germany,26.09.2021,FDP,4
Germany,26.09.2021,CDU/CSU,5
Germany,26.09.2021,AfD,6
